car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date,predicted_price,residual
car_053,2015,144930,1.2,Benzin,Manuelni 5 brzina,5600,Beograd,2026-07-15,6172.044815666107,-572.0448156661068
car_054,2019,129671,1.2,Benzin,Manuelni 5 brzina,8950,Šabac,2026-07-15,7943.862752344968,1006.1372476550323
car_055,2019,160000,1.5,Dizel,Manuelni 5 brzina,7450,Kragujevac,2026-07-15,7820.293685980682,-370.2936859806823
car_056,2019,163000,1.5,Dizel,Manuelni 6 brzina,8300,Topola,2026-07-15,7808.070823403846,491.9291765961543
car_057,2017,98500,1.2,Benzin,Manuelni 5 brzina,6250,Čukarica,2026-07-15,7216.038177142987,-966.0381771429866
car_058,2018,149000,1.6,Dizel,Manuelni 5 brzina,8700,Beograd,2026-07-15,7437.698752930939,1262.301247069061
car_059,2013,136000,1.0,Benzin,Manuelni 5 brzina,4699,Šabac,2026-07-15,5353.60401160699,-654.6040116069898
car_060,2008,201000,1.4,Dizel,Manuelni 5 brzina,3200,Beograd,2026-07-15,2951.714843285188,248.28515671481182
car_061,2010,192000,1.4,Benzin,Manuelni 5 brzina,2800,Novi Sad,2026-07-15,3843.2076226785284,-1043.2076226785284
car_062,2013,170000,1.2,Benzin,Manuelni 5 brzina,4250,Novi Sad,2026-07-15,5215.078235736182,-965.0782357361823
car_063,2020,87510,1.2,Benzin,Manuelni 5 brzina,9300,Jagodina,2026-07-15,8543.050884543653,756.9491154563475
car_064,2019,165611,1.2,Benzin,Manuelni 5 brzina,6950,Kragujevac,2026-07-15,7797.432858674473,-847.4328586744732
car_065,2012,210000,1.6,Dizel,Manuelni 5 brzina,5450,Loznica,2026-07-15,4624.694638880344,825.3053611196556
car_066,2021,56700,1.2,Benzin,Manuelni 5 brzina,7999,Kragujevac,2026-07-15,9095.991779039115,-1096.9917790391155
car_067,2009,68000,1.4,Benzin,Manuelni 5 brzina,3390,Beograd,2026-07-15,3921.0071800230567,-531.0071800230567
car_068,2018,125000,1.2,Benzin,Manuelni 5 brzina,7800,Beograd,2026-07-15,7535.4816535456275,264.5183464543725
car_069,2014,124325,1.2,Benzin,Manuelni 5 brzina,5650,Paraćin,2026-07-15,5828.583414299867,-178.5834142998674
car_070,2020,147453,1.5,Dizel,Manuelni 5 brzina,8650,Aranđelovac,2026-07-15,8298.825867395894,351.1741326041065
car_071,2021,113221,1.2,Benzin,Manuelni 5 brzina,7800,Beograd,2026-07-15,8865.708973804001,-1065.7089738040013
car_072,2019,70782,1.2,Benzin,Manuelni 5 brzina,9690,Beograd,2026-07-15,8183.793470440732,1506.2065295592683
car_073,2021,139000,1.5,Dizel,Manuelni 6 brzina,9150,Kragujevac,2026-07-15,8760.67791568125,389.32208431875006
car_074,2021,169000,1.5,Dizel,Manuelni 6 brzina,8650,Kragujevac,2026-07-15,8638.449289912889,11.550710087110929
car_075,2016,105795,1.2,Benzin,Manuelni 5 brzina,6590,Ada,2026-07-15,6758.904153812289,-168.90415381228922
car_076,2019,110000,1.2,Benzin,,8150,Novi Beograd,2026-07-15,8024.008062261281,125.99193773871866
car_077,2018,74334,1.2,Benzin,,9550,Šabac,2026-07-15,7741.909505318284,1808.0904946817163
car_078,2021,164000,1.5,Dizel,Manuelni 6 brzina,8950,Kragujevac,2026-07-15,8658.82072754095,291.1792724590505
car_079,2012,166000,1.2,Benzin,Manuelni 5 brzina,4199,Niš,2026-07-15,4803.963290007272,-604.963290007272
car_080,2017,170000,1.6,Dizel,Manuelni 5 brzina,6800,Beograd,2026-07-15,6924.72661906173,-124.72661906173016
car_081,2018,34117,1.2,Benzin,Manuelni 5 brzina,8900,Beograd,2026-07-15,7905.7651267358215,994.2348732641785
car_082,2019,109355,1.2,Benzin,Manuelni 5 brzina,6450,Kraljevo,2026-07-15,8026.635977715301,-1576.6359777153011
car_083,2019,152704,1.5,Dizel,Manuelni 6 brzina,7990,Niš,2026-07-15,7850.019687767547,139.9803122324529
car_084,2010,171000,1.6,Dizel,Manuelni 5 brzina,4250,Paraćin,2026-07-15,3928.7676607163803,321.2323392836197
car_085,2019,61000,1.2,Benzin,Manuelni 5 brzina,6790,Novi Sad,2026-07-15,8223.648151016268,-1433.6481510162685
car_086,2015,155062,1.2,Benzin,Manuelni 5 brzina,5600,Novi Beograd,2026-07-15,6130.764134456606,-530.7641344566064
car_087,2011,184000,1.4,Dizel,Manuelni 5 brzina,4250,Beograd,2026-07-15,4303.2140187147825,-53.21401871478247
car_088,2020,163493,1.5,Dizel,Manuelni 5 brzina,8290,Čačak,2026-07-15,8233.474295485077,56.525704514922836
car_089,2012,211000,1.1,Benzin,Manuelni 5 brzina,3200,Beograd,2026-07-15,4620.6203513547325,-1420.6203513547325
car_090,2019,206852,1.6,Dizel,Manuelni 5 brzina,7499,Bela Crkva,2026-07-15,7629.405166830709,-130.40516683070928
car_091,2019,95700,1.5,Dizel,Manuelni 5 brzina,7900,Voždovac,2026-07-15,8082.270373877533,-182.27037387753262
car_092,2020,102960,1.5,Dizel,Manuelni 5 brzina,8750,Jagodina,2026-07-15,8480.103142272947,269.89685772705343
car_093,2021,97080,1.2,Benzin,Manuelni 5 brzina,8290,Čačak,2026-07-15,8931.472048754904,-641.4720487549039
car_094,2010,137259,1.4,Benzin,Manuelni 5 brzina,4350,Kanjiža,2026-07-15,4066.238196118054,283.761803881946
car_095,2014,235000,1.4,Dizel,Manuelni 5 brzina,4650,Novi Beograd,2026-07-15,5377.661642402761,-727.6616424027607
car_096,2020,98000,1.2,Benzin,,10299,Veternik,2026-07-15,8500.311608399983,1798.688391600017
car_097,2022,115188,1.2,Benzin,Manuelni 6 brzina,9990,Zemun,2026-07-15,9285.106946072596,704.8930539274043
car_098,2005,226000,1.4,Dizel,Manuelni 5 brzina,2500,Beograd,2026-07-15,1567.6213676506986,932.3786323493014
car_099,2019,100000,1.2,Benzin,Manuelni 5 brzina,6290,Novi Sad,2026-07-15,8064.750937517401,-1774.7509375174013
car_100,2011,206000,1.6,Dizel,Manuelni 5 brzina,4799,Šabac,2026-07-15,4213.579693151319,585.4203068486813
