car_id,year,mileage_km,engine_l,fuel,transmission,price_eur,city,scraped_date
car_275,2018,118000,1.6,Dizel,Manuelni 5 brzina,8490,Novi Sad,2026-07-15
car_276,2021,96000,1.5,Dizel,Manuelni 6 brzina,8990,Dobanovci,2026-07-15
car_277,2017,134514,1.2,Benzin,Manuelni 6 brzina,7200,Kelebija,2026-07-15
car_278,2022,97032,1.2,Benzin,Manuelni 5 brzina,8290,Zemun,2026-07-15
car_279,2014,121171,1.0,Benzin,Manuelni 5 brzina,3550,Kraljevo,2026-07-15
car_280,2013,197045,1.4,Dizel,Manuelni 5 brzina,4590,Valjevo,2026-07-15
car_281,2019,130940,1.2,Benzin,Manuelni 5 brzina,6800,Novi Sad,2026-07-15
car_282,2020,114583,1.2,Benzin,Manuelni 5 brzina,7000,Kraljevo,2026-07-15
car_283,2021,111000,1.5,Dizel,Manuelni 6 brzina,9699,Novi Sad,2026-07-15
car_284,2011,205000,1.6,Dizel,Manuelni 5 brzina,4750,Šabac,2026-07-15
car_285,2013,243000,1.4,Dizel,Manuelni 5 brzina,4150,Kovin,2026-07-15
car_286,2009,118000,1.1,Benzin,Manuelni 5 brzina,3250,Beograd,2026-07-15
car_287,2021,119000,1.5,Dizel,Manuelni 6 brzina,9400,Topola,2026-07-15
car_288,2020,158767,1.5,Dizel,Manuelni 6 brzina,8990,Topola,2026-07-15
car_289,2020,131258,1.5,Dizel,Manuelni 5 brzina,9490,Topola,2026-07-15
car_290,2003,248653,1.4,Dizel,Manuelni 5 brzina,1550,Lazarevo,2026-07-15
car_291,2010,135000,1.4,Benzin,Manuelni 5 brzina,4290,Novi Beograd,2026-07-15
car_292,2011,234162,1.6,Dizel,Manuelni 5 brzina,4300,Ruma,2026-07-15
car_293,2017,122000,1.2,Benzin,Manuelni 5 brzina,6900,Bor,2026-07-15
car_294,2004,203461,1.6,Benzin,Manuelni 5 brzina,2200,Kragujevac,2026-07-15
car_295,2004,250000,1.4,Dizel,Manuelni 5 brzina,1800,Beograd,2026-07-15
car_296,2011,99500,1.1,Benzin,Manuelni 5 brzina,4750,Srbobran,2026-07-15
car_297,2021,116502,1.5,Dizel,Manuelni 6 brzina,8400,Topola,2026-07-15
car_298,2011,253696,1.4,Dizel,Manuelni 5 brzina,4500,Pirot,2026-07-15
car_299,2020,74940,1.2,Benzin,Manuelni 5 brzina,6690,Beograd,2026-07-15
car_300,2005,245000,1.4,Benzin + Gas (TNG),Manuelni 6 brzina,1700,Novi Sad,2026-07-15
car_301,2021,74849,1.2,Benzin,Manuelni 5 brzina,8500,Beograd,2026-07-15
